game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
623147,Red Johnson's Chronicles,/ps3/623147-red-johnsons-chronicles,ps3,0,1,0,67,67,,,,67,,1
623294,Sonic the Hedgehog 4: Episode II,/xbox360/623294-sonic-the-hedgehog-4-episode-ii,xbox360,1,1,1,61,61,63,,,63,61,1
623309,Iron Brigade,/xbox360/623309-iron-brigade,xbox360,0,0,1,82,82,,,,,82,1
623313,Arcade Essentials,/wii/623313-arcade-essentials,wii,1,0,0,35,35,,,35,,,1
623315,Battle: Los Angeles,/ps3/623315-battle-los-angeles,ps3,0,1,0,43,43,39,,,43,39,1
623998,Toy Soldiers: Cold War,/xbox360/623998-toy-soldiers-cold-war,xbox360,0,0,1,81,81,,,,,81,1
624142,Wrecked: Revenge Revisited,/xbox360/624142-wrecked-revenge-revisited,xbox360,0,1,1,57,64,57,,,64,57,1
624318,Rainbow Moon,/ps3/624318-rainbow-moon,ps3,0,1,0,70,70,,,,70,,1
624321,Magic: The Gathering - Duels of the Planeswalkers 2012,/xbox360/624321-magic-the-gathering-duels-of-the-planeswalkers-2012,xbox360,0,1,1,75,75,74,,,74,75,1
624508,Dungeon Hunter: Alliance,/ps3/624508-dungeon-hunter-alliance,ps3,0,1,0,67,67,,,,67,,1
624516,Rocksmith,/ps3/624516-rocksmith,ps3,0,1,0,80,80,77,,,80,77,1
624548,Strania,/xbox360/624548-strania,xbox360,0,0,1,66,66,,,,,66,1
624571,Wipeout: In the Zone,/xbox360/624571-wipeout-in-the-zone,xbox360,0,0,1,39,39,,,,,39,1
624639,NCAA Football 12,/xbox360/624639-ncaa-football-12,xbox360,0,1,1,,,,,,82,82,1
624642,Cubixx HD,/ps3/624642-cubixx-hd,ps3,0,1,0,70,70,,,,70,,1
625123,Madden NFL 12,/ps3/625123-madden-nfl-12,ps3,1,1,0,,,,,,79,78,1
625202,Skylanders: Spyro's Adventure,/ps3/625202-skylanders-spyros-adventure,ps3,1,1,0,77,77,78,81,81,77,78,1
625218,Zombii Attack,/wii/625218-zombii-attack,wii,1,0,0,21,21,,,21,,,1
625403,F1 2011,/ps3/625403-f1-2011,ps3,0,1,0,82,82,84,,,82,84,1
625528,Resident Evil Code: Veronica X HD,/ps3/625528-resident-evil-code-veronica-x-hd,ps3,0,1,0,65,65,67,,,65,67,1
625676,Resident Evil: Operation Raccoon City,/xbox360/625676-resident-evil-operation-raccoon-city,xbox360,0,1,1,52,52,52,,,52,52,1
625684,Choplifter HD,/ps3/625684-choplifter-hd,ps3,0,1,0,71,71,65,,,71,65,1
625782,Warlords,/xbox360/625782-warlords-2012,xbox360,0,1,1,72,72,72,,,72,72,1
